date,category,type,amount,description,department
2023-01-01 00:00:00.000000000,SaaS Subscriptions,Revenue,5514.39,Transaction for SaaS Subscriptions,Operations
2023-01-07 03:13:36.806722689,Consulting Services,Revenue,27439.99,Transaction for Consulting Services,Operations
2023-01-13 06:27:13.613445378,Consulting Services,Revenue,25406.89,Transaction for Consulting Services,Operations
2023-01-19 09:40:50.420168067,SaaS Subscriptions,Revenue,40663.98,Transaction for SaaS Subscriptions,Executive
2023-01-25 12:54:27.226890756,Payroll,Expense,7574.2,Transaction for Payroll,Marketing
2023-01-31 16:08:04.033613445,Payroll,Expense,6118.92,Transaction for Payroll,Executive
2023-02-06 19:21:40.840336134,Office & Legal,Expense,13622.39,Transaction for Office & Legal,Executive
2023-02-12 22:35:17.647058823,Consulting Services,Revenue,19451.38,Transaction for Consulting Services,Executive
2023-02-19 01:48:54.453781512,SaaS Subscriptions,Revenue,29605.18,Transaction for SaaS Subscriptions,Marketing
2023-02-25 05:02:31.260504202,Consulting Services,Revenue,29620.58,Transaction for Consulting Services,Executive
2023-03-03 08:16:08.067226891,SaaS Subscriptions,Revenue,40129.7,Transaction for SaaS Subscriptions,Operations
2023-03-09 11:29:44.873949580,Consulting Services,Revenue,27543.12,Transaction for Consulting Services,Sales
2023-03-15 14:43:21.680672269,SaaS Subscriptions,Revenue,23343.68,Transaction for SaaS Subscriptions,Marketing
2023-03-21 17:56:58.487394958,SaaS Subscriptions,Revenue,7540.9,Transaction for SaaS Subscriptions,Operations
2023-03-27 21:10:35.294117647,Cloud Infrastructure,Expense,2525.41,Transaction for Cloud Infrastructure,Operations
2023-04-03 00:24:12.100840336,SaaS Subscriptions,Revenue,8212.99,Transaction for SaaS Subscriptions,Engineering
2023-04-09 03:37:48.907563025,Hardware,Expense,3507.35,Transaction for Hardware,Marketing
2023-04-15 06:51:25.714285714,Consulting Services,Revenue,29247.65,Transaction for Consulting Services,Engineering
2023-04-21 10:05:02.521008404,SaaS Subscriptions,Revenue,33732.68,Transaction for SaaS Subscriptions,Engineering
2023-04-27 13:18:39.327731092,Consulting Services,Revenue,24554.63,Transaction for Consulting Services,Executive
2023-05-03 16:32:16.134453782,Hardware,Expense,15007.81,Transaction for Hardware,Engineering
2023-05-09 19:45:52.941176470,Marketing,Expense,17847.11,Transaction for Marketing,Marketing
2023-05-15 22:59:29.747899160,SaaS Subscriptions,Revenue,37170.55,Transaction for SaaS Subscriptions,Engineering
2023-05-22 02:13:06.554621848,Consulting Services,Revenue,31727.38,Transaction for Consulting Services,Sales
2023-05-28 05:26:43.361344538,SaaS Subscriptions,Revenue,24663.43,Transaction for SaaS Subscriptions,Engineering
2023-06-03 08:40:20.168067226,Marketing,Expense,8354.93,Transaction for Marketing,Engineering
2023-06-09 11:53:56.974789916,Consulting Services,Revenue,5171.07,Transaction for Consulting Services,Operations
2023-06-15 15:07:33.781512604,Marketing,Expense,7488.95,Transaction for Marketing,Operations
2023-06-21 18:21:10.588235294,Cloud Infrastructure,Expense,16427.36,Transaction for Cloud Infrastructure,Sales
2023-06-27 21:34:47.394957982,Marketing,Expense,14640.4,Transaction for Marketing,Marketing
2023-07-04 00:48:24.201680672,Consulting Services,Revenue,10898.23,Transaction for Consulting Services,Marketing
2023-07-10 04:02:01.008403360,SaaS Subscriptions,Revenue,21797.44,Transaction for SaaS Subscriptions,Operations
2023-07-16 07:15:37.815126050,Consulting Services,Revenue,37027.46,Transaction for Consulting Services,Sales
2023-07-22 10:29:14.621848740,Consulting Services,Revenue,4431.23,Transaction for Consulting Services,Engineering
2023-07-28 13:42:51.428571428,SaaS Subscriptions,Revenue,18351.58,Transaction for SaaS Subscriptions,Operations
2023-08-03 16:56:28.235294116,Marketing,Expense,15407.22,Transaction for Marketing,Marketing
2023-08-09 20:10:05.042016808,SaaS Subscriptions,Revenue,19069.56,Transaction for SaaS Subscriptions,Executive
2023-08-15 23:23:41.848739496,Consulting Services,Revenue,4876.24,Transaction for Consulting Services,Sales
2023-08-22 02:37:18.655462184,Office & Legal,Expense,9994.35,Transaction for Office & Legal,Sales
2023-08-28 05:50:55.462184872,Payroll,Expense,15580.49,Transaction for Payroll,Operations
2023-09-03 09:04:32.268907564,Consulting Services,Revenue,27177.42,Transaction for Consulting Services,Engineering
2023-09-09 12:18:09.075630252,SaaS Subscriptions,Revenue,11343.14,Transaction for SaaS Subscriptions,Marketing
2023-09-15 15:31:45.882352940,Marketing,Expense,7224.19,Transaction for Marketing,Sales
2023-09-21 18:45:22.689075628,Consulting Services,Revenue,21080.37,Transaction for Consulting Services,Sales
2023-09-27 21:58:59.495798320,Payroll,Expense,10637.16,Transaction for Payroll,Sales
2023-10-04 01:12:36.302521008,Marketing,Expense,13788.64,Transaction for Marketing,Engineering
