employee_id,name,department,position,salary,hire_date,status,performance_score,satisfaction_rating
EMP-1001,Employee 1,Customer Support,VP,137070,2021-04-19,Resigned,4.8,4
EMP-1002,Employee 2,Human Resources,Product Manager,108123,2020-06-22,Active,4.3,4
EMP-1003,Employee 3,Human Resources,Software Engineer,103507,2020-06-02,Resigned,4.9,2
EMP-1004,Employee 4,Sales,Financial Analyst,100752,2021-08-20,Resigned,4.7,3
EMP-1005,Employee 5,Marketing,HR Specialist,65309,2021-10-13,Active,4.9,2
EMP-1006,Employee 6,Engineering,Account Executive,81924,2023-04-12,Active,3.9,3
EMP-1007,Employee 7,Engineering,VP,133480,2022-04-12,Active,3.9,4
EMP-1008,Employee 8,Customer Support,Product Manager,80925,2021-06-26,Active,4.6,3
EMP-1009,Employee 9,Engineering,Marketing Lead,96482,2023-05-20,Active,3.2,2
EMP-1010,Employee 10,Marketing,VP,113208,2021-12-29,Resigned,3.6,2
EMP-1011,Employee 11,Marketing,Staff Engineer,146434,2020-03-04,Resigned,4.1,1
EMP-1012,Employee 12,Engineering,Account Executive,82959,2022-08-04,Active,3.1,2
EMP-1013,Employee 13,Product,Support Specialist,74395,2020-09-24,Resigned,4.3,1
EMP-1014,Employee 14,Human Resources,HR Specialist,54914,2023-04-07,Active,5.0,2
EMP-1015,Employee 15,Marketing,Account Executive,81027,2023-08-15,Active,3.2,4
EMP-1016,Employee 16,Product,Support Specialist,75886,2020-04-13,Active,3.1,4
EMP-1017,Employee 17,Sales,Marketing Lead,87265,2020-12-19,Active,3.6,2
EMP-1018,Employee 18,Human Resources,Marketing Lead,117420,2020-03-11,Active,4.0,5
EMP-1019,Employee 19,Engineering,Product Manager,93335,2022-09-08,Active,3.3,2
EMP-1020,Employee 20,Customer Support,VP,126328,2023-08-09,Resigned,5.0,5
EMP-1021,Employee 21,Marketing,Financial Analyst,106436,2020-02-09,On Leave,4.6,3
EMP-1022,Employee 22,Human Resources,Financial Analyst,100452,2023-03-04,Active,3.4,3
EMP-1023,Employee 23,Product,Software Engineer,93411,2023-05-07,Active,4.6,4
EMP-1024,Employee 24,Sales,Marketing Lead,85461,2022-12-20,Active,3.5,2
EMP-1025,Employee 25,Human Resources,Software Engineer,89379,2021-06-29,On Leave,4.7,4
EMP-1026,Employee 26,Customer Support,Account Executive,86540,2021-12-27,Active,4.2,3
EMP-1027,Employee 27,Engineering,Financial Analyst,112201,2023-04-26,On Leave,3.3,2
EMP-1028,Employee 28,Human Resources,HR Specialist,61505,2022-10-05,Active,3.1,1
EMP-1029,Employee 29,Human Resources,Marketing Lead,76306,2021-04-21,On Leave,4.0,3
