date,campaign,channel,impressions,clicks,spend,conversions,revenue,ctr,cpc,roas
2023-06-01 00:00:00.000000000,Retargeting 2024,LinkedIn,64321,3452,6063.22,180,38763.91,5.37,1.76,6.39
2023-06-03 21:49:44.924623115,Retargeting 2024,TikTok Ads,137028,6987,15503.19,584,60705.1,5.1,2.22,3.92
2023-06-06 19:39:29.849246231,Summer Launch,Meta,79131,1844,3873.16,64,6200.69,2.33,2.1,1.6
2023-06-09 17:29:14.773869346,Summer Launch,YouTube,30963,876,1119.17,78,16043.54,2.83,1.28,14.34
2023-06-12 15:18:59.698492462,Brand Awareness,LinkedIn,106757,5413,9987.59,512,32963.06,5.07,1.85,3.3
2023-06-15 13:08:44.623115577,Brand Awareness,Meta,104259,2433,8277.84,288,51242.95,2.33,3.4,6.19
2023-06-18 10:58:29.547738693,Retargeting 2024,YouTube,44063,2481,3649.96,102,22226.97,5.63,1.47,6.09
2023-06-21 08:48:14.472361809,Summer Launch,LinkedIn,119225,4066,4721.72,417,84537.08,3.41,1.16,17.9
2023-06-24 06:37:59.396984924,Summer Launch,LinkedIn,121400,2296,4431.66,165,26241.91,1.89,1.93,5.92
2023-06-27 04:27:44.321608040,Brand Awareness,YouTube,85818,4438,13020.7,255,25489.96,5.17,2.93,1.96
2023-06-30 02:17:29.246231155,Q1 Growth Push,TikTok Ads,9703,309,732.89,10,895.06,3.18,2.37,1.22
2023-07-03 00:07:14.170854271,Brand Awareness,Meta,77099,2983,7871.04,279,52555.13,3.87,2.64,6.68
2023-07-05 21:56:59.095477387,Q1 Growth Push,LinkedIn,36585,734,963.14,32,6367.0,2.01,1.31,6.61
2023-07-08 19:46:44.020100502,Summer Launch,YouTube,48585,734,1813.83,42,5751.95,1.51,2.47,3.17
2023-07-11 17:36:28.944723618,Brand Awareness,LinkedIn,31958,1397,2337.81,37,3247.1,4.37,1.67,1.39
2023-07-14 15:26:13.869346733,Retargeting 2024,YouTube,31017,1184,3614.3,119,7707.04,3.82,3.05,2.13
2023-07-17 13:15:58.793969849,Black Friday Special,LinkedIn,129677,5409,13517.67,523,31514.1,4.17,2.5,2.33
2023-07-20 11:05:43.718592964,Summer Launch,Google Ads,148273,7520,10053.58,702,119928.66,5.07,1.34,11.93
2023-07-23 08:55:28.643216080,Summer Launch,TikTok Ads,34426,1518,1479.24,76,9007.58,4.41,0.97,6.09
2023-07-26 06:45:13.567839196,Brand Awareness,Meta,22778,521,476.77,19,3865.32,2.29,0.92,8.11
2023-07-29 04:34:58.492462311,Black Friday Special,TikTok Ads,47229,1475,2659.13,124,21630.87,3.12,1.8,8.13
2023-08-01 02:24:43.417085427,Black Friday Special,TikTok Ads,91652,5111,7757.47,356,27935.52,5.58,1.52,3.6
2023-08-04 00:14:28.341708542,Black Friday Special,Meta,133267,6616,16834.04,250,38102.76,4.96,2.54,2.26
2023-08-06 22:04:13.266331658,Brand Awareness,TikTok Ads,131503,5267,11314.58,467,56606.68,4.01,2.15,5.0
2023-08-09 19:53:58.190954774,Brand Awareness,Google Ads,89878,2382,3616.48,284,41469.31,2.65,1.52,11.47
2023-08-12 17:43:43.115577889,Q1 Growth Push,YouTube,62056,1774,2134.02,168,29259.23,2.86,1.2,13.71
2023-08-15 15:33:28.040201005,Q1 Growth Push,Meta,24975,1197,1368.7,113,21027.52,4.79,1.14,15.36
2023-08-18 13:23:12.964824120,Q1 Growth Push,YouTube,147633,7869,24666.03,905,174351.9,5.33,3.13,7.07
2023-08-21 11:12:57.889447236,Retargeting 2024,LinkedIn,93397,4223,6154.56,170,15205.75,4.52,1.46,2.47
2023-08-24 09:02:42.814070351,Summer Launch,Google Ads,38142,1962,5021.97,150,7566.78,5.14,2.56,1.51
2023-08-27 06:52:27.738693467,Q1 Growth Push,YouTube,31916,1580,4722.39,186,32434.04,4.95,2.99,6.87
2023-08-30 04:42:12.663316582,Retargeting 2024,YouTube,69324,1507,3704.24,55,3498.56,2.17,2.46,0.94
2023-09-02 02:31:57.587939698,Retargeting 2024,Meta,130932,4462,13925.13,402,40244.59,3.41,3.12,2.89
2023-09-05 00:21:42.512562814,Brand Awareness,LinkedIn,140720,3080,5727.15,242,11051.66,2.19,1.86,1.93
2023-09-07 22:11:27.437185929,Black Friday Special,Meta,101059,2586,8745.33,203,33351.31,2.56,3.38,3.81
2023-09-10 20:01:12.361809045,Black Friday Special,LinkedIn,103317,5591,6482.72,502,37272.55,5.41,1.16,5.75
2023-09-13 17:50:57.286432160,Q1 Growth Push,Meta,40046,1453,1563.14,164,26186.61,3.63,1.08,16.75
2023-09-16 15:40:42.211055276,Summer Launch,YouTube,106459,4162,10731.59,409,89388.98,3.91,2.58,8.33
2023-09-19 13:30:27.135678392,Summer Launch,YouTube,50893,1172,3921.09,30,1731.52,2.3,3.35,0.44
2023-09-22 11:20:12.060301506,Summer Launch,Google Ads,106520,3095,9235.43,326,19067.3,2.91,2.98,2.06
2023-09-25 09:09:56.984924622,Retargeting 2024,YouTube,130818,3318,3338.99,141,14743.88,2.54,1.01,4.42
2023-09-28 06:59:41.909547738,Retargeting 2024,TikTok Ads,66272,1609,2500.86,93,18285.44,2.43,1.55,7.31
2023-10-01 04:49:26.834170854,Retargeting 2024,YouTube,72649,3175,10515.16,210,17370.72,4.37,3.31,1.65
2023-10-04 02:39:11.758793970,Brand Awareness,TikTok Ads,69674,1851,2745.51,126,13616.33,2.66,1.48,4.96
2023-10-07 00:28:56.683417084,Retargeting 2024,YouTube,149832,6509,18935.72,413,23536.23,4.34,2.91,1.24
2023-10-09 22:18:41.608040200,Summer Launch,TikTok Ads,91475,1613,4883.93,183,32675.05,1.76,3.03,6.69
2023-10-12 20:08:26.532663316,Summer Launch,TikTok Ads,66367,1419,3033.43,129,15022.52,2.14,2.14,4.95
2023-10-15 17:58:11.457286432,Black Friday Special,YouTube,148660,4066,7494.22,338,60119.56,2.74,1.84,8.02
2023-10-18 15:47:56.381909548,Summer Launch,TikTok Ads,126750,5307,10695.39,133,27016.47,4.19,2.02,2.53
2023-10-21 13:37:41.306532662,Retargeting 2024,Google Ads,123154,5593,7901.82,617,52897.6,4.54,1.41,6.69
2023-10-24 11:27:26.231155778,Retargeting 2024,LinkedIn,49738,1737,5560.75,193,35954.8,3.49,3.2,6.47
2023-10-27 09:17:11.155778894,Q1 Growth Push,TikTok Ads,38397,1346,2714.44,132,7305.07,3.51,2.02,2.69
2023-10-30 07:06:56.080402010,Brand Awareness,TikTok Ads,87189,4150,13207.96,86,17397.65,4.76,3.18,1.32
2023-11-02 04:56:41.005025124,Summer Launch,Google Ads,81367,1278,1387.11,33,5243.19,1.57,1.09,3.78
