date,product,category,region,quantity,unit_price,revenue,cost,profit,customer_id,payment_method
2023-01-01 00:00:00.000000000,Wireless Mouse,Peripherals,Middle East,39,427.61,16676.79,8967.05,7709.74,CUST-2391,PayPal
2023-01-02 11:06:36.793587174,Laptop Pro,Electronics,Latin America,29,45.52,1320.08,748.74,571.34,CUST-1861,Bank Transfer
2023-01-03 22:13:13.587174348,Keyboard Mechanical,Peripherals,Latin America,15,617.71,9265.65,6098.55,3167.1,CUST-3549,PayPal
2023-01-05 09:19:50.380761523,"Monitor 27""",Electronics,North America,43,578.04,24855.72,13932.15,10923.57,CUST-3579,Bank Transfer
2023-01-06 20:26:27.174348697,"Monitor 27""",Accessories,,8,180.67,1445.36,658.13,787.23,CUST-1815,Credit Card
2023-01-08 07:33:03.967935871,USB Hub,Peripherals,Asia Pacific,21,24.72,519.12,254.31,264.81,CUST-2336,PayPal
2023-01-09 18:39:40.761523046,Wireless Mouse,Peripherals,Latin America,39,607.73,23701.47,11684.38,12017.09,CUST-5458,PayPal
2023-01-11 05:46:17.555110220,Phone Case,Peripherals,Asia Pacific,19,333.16,6330.04,3286.53,3043.51,CUST-8259,PayPal
2023-01-12 16:52:54.348697394,Wireless Mouse,Peripherals,Asia Pacific,23,357.5,8222.5,4341.78,3880.72,CUST-7947,Bank Transfer
2023-01-14 03:59:31.142284569,Fast Charger 65W,Accessories,North America,11,449.32,4942.52,3162.89,1779.63,CUST-8957,Credit Card
2023-01-15 15:06:07.935871743,Headset Pro,Electronics,Europe,11,406.07,4466.77,2254.9,2211.87,CUST-8242,Credit Card
2023-01-17 02:12:44.729458917,Laptop Pro,Electronics,Asia Pacific,24,614.37,14744.88,7969.16,6775.72,CUST-7785,Credit Card
2023-01-18 13:19:21.523046092,Laptop Pro,Peripherals,Latin America,36,614.6,22125.6,12998.63,9126.97,CUST-5475,Credit Card
2023-01-20 00:25:58.316633266,Wireless Mouse,Accessories,Latin America,40,565.67,22626.8,11614.74,11012.06,CUST-4531,Bank Transfer
2023-01-21 11:32:35.110220440,"Monitor 27""",Electronics,Asia Pacific,24,419.12,10058.88,6548.02,3510.86,CUST-9394,PayPal
2023-01-22 22:39:11.903807615,"Monitor 27""",Electronics,Latin America,3,523.6,1570.8,905.15,665.65,CUST-2864,Stripe
2023-01-24 09:45:48.697394789,Phone Case,Electronics,Middle East,22,445.0,9790.0,4779.61,5010.39,CUST-6655,Credit Card
2023-01-25 20:52:25.490981963,Fast Charger 65W,Electronics,North America,2,379.09,758.18,465.69,292.49,CUST-8043,Stripe
2023-01-27 07:59:02.284569138,Laptop Pro,Electronics,Latin America,24,96.6,2318.4,1294.35,1024.05,CUST-2816,Bank Transfer
2023-01-28 19:05:39.078156312,Phone Case,Electronics,North America,44,530.11,23324.84,13069.77,10255.07,CUST-5640,Bank Transfer
2023-01-30 06:12:15.871743487,"Monitor 27""",Accessories,Asia Pacific,30,536.11,16083.3,8754.56,7328.74,CUST-8972,Stripe
2023-01-31 17:18:52.665330661,Phone Case,Peripherals,Asia Pacific,38,412.47,15673.86,8606.57,7067.29,CUST-9633,PayPal
2023-02-02 04:25:29.458917835,Headset Pro,Electronics,Asia Pacific,2,535.97,1071.94,674.9,397.04,CUST-6053,Stripe
2023-02-03 15:32:06.252505010,"Monitor 27""",Accessories,North America,21,428.69,9002.49,3879.12,5123.37,CUST-1744,Bank Transfer
2023-02-05 02:38:43.046092184,Tablet Air,Accessories,Latin America,33,146.24,4825.92,2414.45,2411.47,CUST-4612,Stripe
2023-02-06 13:45:19.839679358,Fast Charger 65W,Peripherals,Middle East,12,188.97,2267.64,958.42,1309.22,CUST-7475,Credit Card
2023-02-08 00:51:56.633266533,Keyboard Mechanical,Peripherals,North America,22,151.26,3327.72,2083.07,1244.65,CUST-1897,Credit Card
2023-02-09 11:58:33.426853707,Laptop Pro,Electronics,Middle East,44,254.56,11200.64,5395.24,5805.4,CUST-1125,PayPal
2023-02-10 23:05:10.220440881,USB Hub,Peripherals,Latin America,25,39.74,993.5,664.88,328.62,CUST-4349,Stripe
2023-02-12 10:11:47.014028056,Headset Pro,Peripherals,Latin America,49,407.59,19971.91,11143.8,8828.11,CUST-5938,Stripe
2023-02-13 21:18:23.807615230,Webcam 4K,Accessories,North America,27,228.71,6175.17,,2221.67,CUST-4460,Stripe
2023-02-15 08:25:00.601202404,Keyboard Mechanical,Accessories,Europe,42,431.38,18117.96,12568.06,5549.9,CUST-3248,Stripe
2023-02-16 19:31:37.394789579,USB Hub,Accessories,Middle East,28,259.73,7272.44,4741.17,2531.27,CUST-5186,PayPal
2023-02-18 06:38:14.188376753,"Monitor 27""",Electronics,Asia Pacific,16,447.82,7165.12,4729.68,2435.44,CUST-5742,Bank Transfer
2023-02-19 17:44:50.981963927,Webcam 4K,Electronics,,15,231.3,3469.5,1812.45,1657.05,CUST-6375,PayPal
2023-02-21 04:51:27.775551102,Wireless Mouse,Peripherals,Latin America,47,180.54,8485.38,4798.62,3686.76,CUST-2965,Bank Transfer
2023-02-22 15:58:04.569138276,Wireless Mouse,Peripherals,Latin America,44,329.98,14519.12,6913.52,7605.6,CUST-1126,Bank Transfer
2023-02-24 03:04:41.362725451,Headset Pro,Electronics,North America,3,454.99,1364.97,626.29,738.68,CUST-9149,Bank Transfer
2023-02-25 14:11:18.156312625,Wireless Mouse,Electronics,Europe,37,236.19,8739.03,4820.91,3918.12,CUST-8055,Stripe
2023-02-27 01:17:54.949899799,Webcam 4K,Accessories,Asia Pacific,7,609.77,4268.39,2469.33,1799.06,CUST-3878,PayPal
